X matrix 
 [1.92117649e-02 1.60174110e-03 9.79186494e-01]
 [1.92057547e-02 1.52952240e-03 9.79264723e-01]
 [1.92000061e-02 1.46043372e-03 9.79339560e-01]
 [1.91945121e-02 1.39438788e-03 9.79411100e-01]
 [1.91892637e-02 1.33127517e-03 9.79479461e-01]
 [1.91842516e-02 1.27098745e-03 9.79544761e-01]
 [1.91794669e-02 1.21341804e-03 9.79607115e-01]
 [1.91749007e-02 1.15846184e-03 9.79666637e-01]
 [1.91705444e-02 1.10601523e-03 9.79723440e-01]
 [1.91663892e-02 1.05597613e-03 9.79777635e-01]
 [1.91624268e-02 1.00824397e-03 9.79829329e-01]
 [1.91586488e-02 9.62719726e-04 9.79878632e-01]
 [1.91550469e-02 9.19305866e-04 9.79925647e-01]
 [1.91516131e-02 8.77906394e-04 9.79970481e-01]
 [1.91483394e-02 8.38426831e-04 9.80013234e-01]
 [1.91452179e-02 8.00774223e-04 9.80054008e-01]
 [1.91422410e-02 7.64857134e-04 9.80092902e-01]
 [1.91394010e-02 7.30585651e-04 9.80130013e-01]
 [1.91366906e-02 6.97871381e-04 9.80165438e-01]
 [1.91341023e-02 6.66627453e-04 9.80199270e-01]
 [1.91316289e-02 6.36768517e-04 9.80231603e-01]
 [1.91292635e-02 6.08210746e-04 9.80262526e-01]
 [1.91269989e-02 5.80871831e-04 9.80292129e-01]
 [1.91248292e-02 5.54679753e-04 9.80320491e-01]
 [1.91227559e-02 5.29649615e-04 9.80347594e-01]]
b vectors 
[[-1.07233436e-03  8.02758326e-04  2.69576034e-04]
 [-1.24295406e-03  9.30110463e-04  3.12843593e-04]
 [-1.44007696e-03  1.07708356e-03  3.62993402e-04]
 [-1.66711641e-03  1.24628590e-03  4.20830510e-04]
 [-1.92918116e-03  1.44138100e-03  4.87800158e-04]
 [-2.23158802e-03  1.66615254e-03  5.65435482e-04]
 [-2.57965382e-03  1.92438420e-03  6.55269620e-04]
 [-2.97869538e-03  2.21985967e-03  7.58835709e-04]
 [-3.43308640e-03  2.55521919e-03  8.77867208e-04]
 [-3.95047653e-03  2.93567067e-03  1.01480586e-03]
 [-4.54543911e-03  3.37341402e-03  1.17202509e-03]
 [-5.22484833e-03  3.87209746e-03  1.35275087e-03]
 [-5.99506738e-03  4.43479561e-03  1.56027177e-03]
 [-6.86245944e-03  5.06458305e-03  1.79787639e-03]
 [-7.83338768e-03  5.76453438e-03  2.06885330e-03]
 [-8.91421528e-03  6.53772420e-03  2.37649108e-03]
 [-1.01113054e-02  7.38722709e-03  2.72407833e-03]
 [-1.14047086e-02  8.29316323e-03  3.11154541e-03]
 [-1.28051706e-02  9.25989739e-03  3.54527321e-03]
 [-1.43802275e-02  1.03409625e-02  4.03926503e-03]
 [-1.60944023e-02  1.15018733e-02  4.59252898e-03]
 [-1.79092074e-02  1.27055550e-02  5.20365247e-03]
 [-1.97861555e-02  1.39149326e-02  5.87122293e-03]
 [-2.16867589e-02  1.50929311e-02  6.59382779e-03]
 [-2.35725303e-02  1.62024758e-02  7.37005449e-03]
 [-2.54049820e-02  1.72064915e-02  8.19849045e-03]
 [-2.71456267e-02  1.80679036e-02  9.07772309e-03]
 [-2.87740368e-02  1.87668389e-02  1.00071979e-02]
 [-3.03385366e-02  1.93588010e-02  1.09797356e-02]
 [-3.15660638e-02  1.96078222e-02  1.19582416e-02]
 [-3.24196566e-02  1.94916706e-02  1.29279860e-02]
 [-3.29213947e-02  1.90428207e-02  1.38785740e-02]
 [-3.30933574e-02  1.82937467e-02  1.47996107e-02]
 [-3.29576241e-02  1.72769230e-02  1.56807012e-02]
 [-3.25362744e-02  1.60248239e-02  1.65114505e-02]
 [-3.18513876e-02  1.45699238e-02  1.72814638e-02]
 [-3.09250433e-02  1.29446971e-02  1.79803462e-02]
 [-2.97793208e-02  1.11816181e-02  1.85977028e-02]
 [-2.84362997e-02  9.31316106e-03  1.91231386e-02]
 [-2.69180593e-02  7.37180044e-03  1.95462588e-02]
 [-2.52466045e-02  5.38995475e-03  1.98566498e-02]
 [-2.34133500e-02  3.37800618e-03  2.00353439e-02]
 [-2.16093505e-02  1.49049569e-03  2.01188548e-02]
 [-1.99355611e-02 -2.00472353e-04  2.01360335e-02]
 [-1.83834644e-02 -1.70713054e-03  2.00905949e-02]
 [-1.69445426e-02 -3.04171148e-03  1.99862541e-02]
 [-1.56102782e-02 -4.21644777e-03  1.98267260e-02]
 [-1.43721537e-02 -5.24357202e-03  1.96157257e-02]
 [-1.32216514e-02 -6.13531684e-03  1.93569683e-02]
 [-1.21502538e-02 -6.90391481e-03  1.90541686e-02]
 [-1.11494433e-02 -7.56159855e-03  1.87110418e-02]
 [-1.02107022e-02 -8.12060066e-03  1.83313029e-02]
 [-9.32551304e-03 -8.59315375e-03  1.79186668e-02]
 [-8.48535818e-03 -8.99149040e-03  1.74768486e-02]
 [-7.68172006e-03 -9.32784324e-03  1.70095633e-02]
 [-6.90608108e-03 -9.61444486e-03  1.65205259e-02]
 [-6.14992365e-03 -9.86352787e-03  1.60134515e-02]
 [-5.42005720e-03 -1.00725419e-02  1.54925991e-02]
 [-4.88388592e-03 -1.00890807e-02  1.49729666e-02]
 [-4.44408373e-03 -1.00194914e-02  1.44635752e-02]
 [-4.05099423e-03 -9.91313514e-03  1.39641294e-02]
 [-3.70052853e-03 -9.77416735e-03  1.34746959e-02]
 [-3.38859777e-03 -9.60674362e-03  1.29953414e-02]
 [-3.11111310e-03 -9.41501955e-03  1.25261326e-02]
 [-2.86398564e-03 -9.20315069e-03  1.20671363e-02]
 [-2.64312653e-03 -8.97529262e-03  1.16184191e-02]
 [-2.44444690e-03 -8.73560092e-03  1.11800478e-02]
 [-2.26385789e-03 -8.48823116e-03  1.07520891e-02]
 [-2.09727064e-03 -8.23733891e-03  1.03346095e-02]
 [-1.94059627e-03 -7.98707975e-03  9.92767602e-03]
 [-1.78974593e-03 -7.74160924e-03  9.53135516e-03]
 [-1.64063074e-03 -7.50508296e-03  9.14571370e-03]
 [-1.48980282e-03 -7.28110144e-03  8.77090426e-03]
 [-1.36933644e-03 -7.04231075e-03  8.41164719e-03]
 [-1.27279872e-03 -6.79401228e-03  8.06681100e-03]
 [-1.18289669e-03 -6.55094297e-03  7.73383966e-03]
 [-1.09934207e-03 -6.31317138e-03  7.41251345e-03]
 [-1.02184661e-03 -6.08076603e-03  7.10261264e-03]
 [-9.50122037e-04 -5.85379548e-03  6.80391752e-03]
 [-8.83880077e-04 -5.63232826e-03  6.51620834e-03]
 [-8.22832464e-04 -5.41643292e-03  6.23926539e-03]
 [-7.66690931e-04 -5.20617799e-03  5.97286893e-03]
 [-7.15167208e-04 -5.00163203e-03  5.71679923e-03]
 [-6.67973026e-04 -4.80286355e-03  5.47083658e-03]
 [-6.24820118e-04 -4.60994112e-03  5.23476124e-03]
 [-5.85420215e-04 -4.42293327e-03  5.00835349e-03]
 [-5.49485049e-04 -4.24190854e-03  4.79139359e-03]
 [-5.16726350e-04 -4.06693547e-03  4.58366182e-03]
 [-4.86855851e-04 -3.89808261e-03  4.38493846e-03]
 [-4.59585282e-04 -3.73541849e-03  4.19500378e-03]
 [-4.34615533e-04 -3.57905932e-03  4.01367485e-03]
 [-4.11009388e-04 -3.43078915e-03  3.84179854e-03]
 [-3.88284291e-04 -3.28867967e-03  3.67696396e-03]
 [-3.66575761e-04 -3.15137082e-03  3.51794658e-03]
 [-3.45870432e-04 -3.01878841e-03  3.36465884e-03]
 [-3.26154935e-04 -2.89085828e-03  3.21701321e-03]
 [-3.07415903e-04 -2.76750623e-03  3.07492214e-03]
 [-2.89639968e-04 -2.64865810e-03  2.93829807e-03]
 [-2.72813763e-04 -2.53423971e-03  2.80705347e-03]
 [-2.56923920e-04 -2.42417686e-03  2.68110079e-03]
 [-2.41957071e-04 -2.31839540e-03  2.56035247e-03]
 [-2.27899849e-04 -2.21682114e-03  2.44472099e-03]
 [-2.14738885e-04 -2.11937989e-03  2.33411878e-03]
 [-2.02460813e-04 -2.02599749e-03  2.22845830e-03]
 [-1.91052264e-04 -1.93659975e-03  2.12765201e-03]
 [-1.80499871e-04 -1.85111249e-03  2.03161236e-03]
 [-1.70790265e-04 -1.76946154e-03  1.94025180e-03]
 [-1.61910080e-04 -1.69157271e-03  1.85348279e-03]
 [-1.53845948e-04 -1.61737184e-03  1.77121779e-03]
 [-1.46584501e-04 -1.54678473e-03  1.69336923e-03]
 [-1.40112371e-04 -1.47973722e-03  1.61984959e-03]
 [-1.34416190e-04 -1.41615511e-03  1.55057130e-03]
 [-1.28911705e-04 -1.35565811e-03  1.48456982e-03]
 [-1.22713849e-04 -1.29720227e-03  1.41991612e-03]
 [-1.16731543e-04 -1.24081101e-03  1.35754255e-03]
 [-1.10993394e-04 -1.18646348e-03  1.29745688e-03]
 [-1.05495870e-04 -1.13412790e-03  1.23962377e-03]
 [-1.00235437e-04 -1.08377246e-03  1.18400790e-03]
 [-9.52085659e-05 -1.03536538e-03  1.13057395e-03]
 [-9.04117232e-05 -9.88874855e-04  1.07928658e-03]
 [-8.58413775e-05 -9.44269094e-04  1.03011047e-03]
 [-8.14939970e-05 -9.01516301e-04  9.83010298e-04]
